class_index,avg_acc,multi_rate,count,acc_sum,multi_num
epoch_0,,,,,
10,0.877,0.0,130,114.0,0
11,0.954,0.0,130,124.0,0
12,0.923,0.0,130,120.0,0
13,0.908,0.0,130,118.0,0
14,0.969,0.0,130,126.0,0
16,0.954,0.0,130,124.0,0
17,0.885,0.0,130,115.0,0
18,0.885,0.0,130,115.0,0
19,0.946,0.0,130,123.0,0
20,0.908,0.0,130,118.0,0
81,0.892,0.0,130,116.0,0
82,0.546,0.0,130,71.0,0
84,0.938,0.0,130,122.0,0
85,0.854,0.0,130,111.0,0
86,0.731,0.0,130,95.0,0
99,0.838,0.0,130,109.0,0
100,0.969,0.0,130,126.0,0
129,0.954,0.0,130,124.0,0
131,0.908,0.0,130,118.0,0
135,0.946,0.0,130,123.0,0
136,0.931,0.0,130,121.0,0
138,0.908,0.0,130,118.0,0
139,0.931,0.0,130,121.0,0
145,0.985,0.0,130,128.0,0
146,0.946,0.0,130,123.0,0
268,0.893,0.0,75,67.0,0
269,0.862,0.0,130,112.0,0
274,0.846,0.0,130,110.0,0
276,0.931,0.0,130,121.0,0
279,0.923,0.0,130,120.0,0
282,0.662,0.0,130,86.0,0
283,0.931,0.0,130,121.0,0
291,0.892,0.0,130,116.0,0
292,0.923,0.0,130,120.0,0
293,0.969,0.0,130,126.0,0
333,0.869,0.0,130,113.0,0
334,0.877,0.0,130,114.0,0
336,0.831,0.0,130,108.0,0
337,0.754,0.0,130,98.0,0
338,0.838,0.0,130,109.0,0
340,0.985,0.0,130,128.0,0
344,0.9,0.0,130,117.0,0
345,0.846,0.0,130,110.0,0
351,0.862,0.0,130,112.0,0
352,0.823,0.0,130,107.0,0
368,0.854,0.0,130,111.0,0
371,0.738,0.0,130,96.0,0
378,0.769,0.0,130,100.0,0
379,0.831,0.0,130,108.0,0
380,0.746,0.0,130,97.0,0
398,0.846,0.0,130,110.0,0
414,0.8,0.0,130,104.0,0
428,0.785,0.0,130,102.0,0
438,0.792,0.0,130,103.0,0
464,0.608,0.0,130,79.0,0
471,0.769,0.0,130,100.0,0
479,0.9,0.0,130,117.0,0
480,0.877,0.0,130,114.0,0
491,0.782,0.0,119,93.0,0
492,0.808,0.0,130,105.0,0
513,0.662,0.0,130,86.0,0
519,0.738,0.0,130,96.0,0
527,0.938,0.0,130,122.0,0
561,0.885,0.0,130,115.0,0
565,0.931,0.0,130,121.0,0
583,0.836,0.0,128,107.0,0
584,0.7,0.0,130,91.0,0
594,0.915,0.0,130,119.0,0
595,0.746,0.0,130,97.0,0
612,0.938,0.0,130,122.0,0
618,0.615,0.0,130,80.0,0
636,0.592,0.0,130,77.0,0
637,0.762,0.0,130,99.0,0
666,0.808,0.0,130,105.0,0
670,0.885,0.0,130,115.0,0
676,0.77,0.0,113,87.0,0
683,0.792,0.0,130,103.0,0
694,0.938,0.0,130,122.0,0
695,0.762,0.0,130,99.0,0
709,0.638,0.0,130,83.0,0
725,0.785,0.0,130,102.0,0
728,0.698,0.0,106,74.0,0
739,0.892,0.0,130,116.0,0
746,0.862,0.0,130,112.0,0
748,0.508,0.0,130,66.0,0
755,0.923,0.0,130,120.0,0
757,0.892,0.0,130,116.0,0
769,0.754,0.0,130,98.0,0
771,0.824,0.0,102,84.0,0
772,0.656,0.0,125,82.0,0
776,0.808,0.0,130,105.0,0
797,0.715,0.0,130,93.0,0
829,0.908,0.0,130,118.0,0
837,0.762,0.0,130,99.0,0
844,0.808,0.0,130,105.0,0
847,0.931,0.0,130,121.0,0
866,0.815,0.0,130,106.0,0
875,0.738,0.0,130,96.0,0
876,0.808,0.0,130,105.0,0
880,0.846,0.0,130,110.0,0
